,MAE,MSE,R²
XGBoost,9.913790434120974,995.336952276266,0.40573984680262576
Random Forest,10.016005797262086,1043.0483177500867,0.377254052830155
LightGBM,10.082362792070422,1082.3796628939037,0.3537715013814511
Support Vector Regressor,9.130894346435898,1090.042209654508,0.3491966222900791
Linear Regression,10.291481541374573,1096.150488183664,0.34554971002965584
Gradient Boosting,9.6912412581883,1102.4847677608416,0.34176786515459123
Neural Network,76.52659275443665,7720.153421776161,-3.609272814236429
